capacite,effectif_total_candidats,effectif_total_candidates,effectif_total_proposition_admission,effectif_total_admis_boursiers_neo_bac, effectif_admis_meme_academie, poucentage_admis_selon_candidats
24,495,32,125,7,15,4.04040404040404040400
40,566,153,163,9,10,6.89045936395759717300
63,1782,1149,81,15,2,4.15263748597081930400
24,407,44,265,0,15,12.03931203931203931200
15,17,15,13,2,2,17.64705882352941176500
48,3140,1574,541,12,12,1.52866242038216560500
15,167,127,56,3,1,8.98203592814371257500
40,405,342,71,2,7,9.62962962962962963000
190,9397,2785,5048,16,34,2.00063850164946259400
16,204,74,35,1,5,3.43137254901960784300
30,892,433,397,2,11,2.24215246636771300400
8,35,5,23,1,1,14.28571428571428571400
24,277,154,90,2,10,7.94223826714801444000
24,206,25,76,2,12,10.19417475728155339800
40,186,153,150,4,17,16.12903225806451612900
15,97,92,26,0,5,19.58762886597938144300
40,476,346,180,4,17,9.24369747899159663900
18,59,28,31,2,2,11.86440677966101694900
18,137,67,78,1,4,4.37956204379562043800
80,369,322,367,10,29,15.44715447154471544700
15,410,58,69,2,6,1.95121951219512195100
36,118,107,75,0,10,32.20338983050847457600
15,167,8,41,1,10,6.58682634730538922200
100,279,194,162,0,4,10.39426523297491039400
122,1673,1396,264,43,68,7.23251643753735803900
33,945,623,191,2,8,3.38624338624338624300
36,573,47,91,6,4,6.28272251308900523600
25,409,275,230,6,10,8.31295843520782396100
46,1993,1316,319,6,15,2.20772704465629704000
40,1492,622,259,1,34,2.61394101876675603200
18,230,162,114,0,2,3.91304347826086956500
36,116,50,73,3,11,13.79310344827586206900
24,1134,632,130,8,14,2.02821869488536155200
25,475,365,130,2,7,5.26315789473684210500
19,125,96,79,0,3,14.40000000000000000000
32,240,169,93,2,12,12.08333333333333333300
32,131,57,73,5,6,8.39694656488549618300
35,465,245,88,17,29,6.88172043010752688200
36,563,259,335,6,15,5.50621669626998223800
40,855,332,269,1,8,5.14619883040935672500
35,322,131,188,7,24,8.38509316770186335400
32,643,269,118,5,13,5.13219284603421461900
18,166,75,69,4,9,7.22891566265060241000
104,1865,429,931,15,52,5.20107238605898123300
40,1281,636,225,11,27,2.41998438719750195200
22,395,126,86,1,8,4.55696202531645569600
25,286,155,110,2,15,9.79020979020979021000
80,687,215,383,11,22,7.13245997088791848600
18,88,74,40,7,16,19.31818181818181818200
250,5492,1072,2086,10,112,4.84340859431900946800
35,211,132,126,5,15,9.47867298578199052100
24,130,92,68,5,11,10.00000000000000000000
5,141,9,76,3,3,4.25531914893617021300
35,823,413,101,15,27,4.13122721749696233300
12,426,38,79,4,9,2.81690140845070422500
38,180,34,94,6,15,16.66666666666666666700
40,473,344,298,11,25,8.03382663847780126800
15,70,55,26,0,1,5.71428571428571428600
36,273,149,96,3,10,6.95970695970695970700
20,58,5,40,0,3,13.79310344827586206900
15,47,27,21,3,2,12.76595744680851063800
191,925,667,818,36,56,19.67567567567567567600
80,2020,562,477,21,66,3.81188118811881188100
94,1552,390,659,21,17,5.67010309278350515500
35,235,154,181,0,16,11.06382978723404255300
24,251,115,113,2,19,10.75697211155378486100
15,204,81,102,0,6,7.35294117647058823500
30,130,15,67,1,2,5.38461538461538461500
15,234,34,46,4,7,3.41880341880341880300
20,715,510,73,0,9,2.51748251748251748300
54,1048,794,283,8,16,5.15267175572519084000
10,178,77,146,0,0,0.56179775280898876400
15,5,0,5,1,3,60.00000000000000000000
30,780,376,130,6,23,3.84615384615384615400
30,500,371,246,7,21,5.40000000000000000000
35,1024,180,155,5,19,3.12500000000000000000
35,602,336,126,19,28,5.48172757475083056500
85,4210,859,1491,11,6,1.99524940617577197100
25,1441,516,109,4,22,1.73490631505898681500
40,2434,1895,326,2,5,1.60230073952341824200
15,172,16,61,5,12,7.55813953488372093000
198,9475,7980,1697,31,72,2.08970976253298153000
40,1098,729,166,9,24,3.27868852459016393400
48,328,213,236,2,24,8.23170731707317073200
35,709,378,170,13,24,4.65444287729196050800
40,344,198,271,5,13,14.82558139534883720900
30,416,87,58,1,9,7.21153846153846153800
35,653,305,123,4,24,5.35987748851454823900
60,86,65,82,0,5,12.79069767441860465100
15,190,21,62,1,8,6.31578947368421052600
5,58,2,14,1,3,6.89655172413793103400
20,102,32,38,0,3,11.76470588235294117600
4,163,23,7,1,2,2.45398773006134969300
12,121,17,63,2,4,4.95867768595041322300
42,140,30,97,4,21,20.71428571428571428600
32,3802,1620,637,2,10,0.84166228300894266200
25,273,223,156,3,8,8.05860805860805860800
25,258,66,56,2,20,9.68992248062015503900
35,1643,1463,215,18,18,2.00852099817407182000
38,234,118,132,17,27,15.38461538461538461500
100,818,57,426,16,49,10.39119804400977995100
12,133,31,86,3,7,9.02255639097744360900
140,732,299,570,22,88,18.85245901639344262300
36,400,77,179,6,24,8.75000000000000000000
15,144,18,64,2,9,8.33333333333333333300
22,464,259,119,8,11,3.23275862068965517200
72,2506,2006,301,11,46,2.87310454908220271300
24,518,31,118,11,12,4.63320463320463320500
10,46,23,17,0,0,0.00000000000000000000
24,809,352,376,1,19,2.96662546353522867700
24,252,14,92,2,5,3.17460317460317460300
30,144,69,91,5,14,13.88888888888888888900
12,780,497,33,2,3,1.28205128205128205100
36,228,79,93,1,13,7.89473684210526315800
13,555,452,51,3,5,2.70270270270270270300
90,363,246,300,8,20,14.04958677685950413200
35,713,397,115,5,14,4.76858345021037868200
24,212,150,86,5,11,11.32075471698113207500
88,2691,2222,696,12,58,3.27015979189892233400
100,585,407,437,11,45,13.16239316239316239300
5,89,61,22,1,0,4.49438202247191011200
90,784,228,605,4,14,5.22959183673469387800
25,32,19,23,1,4,18.75000000000000000000
60,1128,654,493,17,36,4.78723404255319148900
20,264,11,79,1,16,10.22727272727272727300
38,112,66,24,0,0,2.67857142857142857100
35,780,660,156,6,13,4.48717948717948717900
60,4239,948,2471,6,27,0.94361877801368247200
15,162,81,41,5,10,9.25925925925925925900
48,799,160,313,8,18,6.00750938673341677100
12,864,413,22,2,8,1.27314814814814814800
16,332,279,52,1,7,4.81927710843373494000
36,706,485,73,14,15,3.11614730878186968800
15,33,13,18,0,0,3.03030303030303030300
33,75,69,36,0,7,29.33333333333333333300
28,1529,1150,46,1,6,1.83126226291693917600
12,61,9,27,2,6,16.39344262295081967200
100,268,142,92,8,29,20.14925373134328358200
163,5293,2921,806,76,78,3.21178915548838088000
26,164,105,76,4,7,7.31707317073170731700
35,321,57,225,4,4,4.36137071651090342700
116,2412,1693,1114,29,50,5.05804311774461028200
15,205,82,57,5,8,5.85365853658536585400
173,4213,1979,859,53,113,3.94018514122952765300
24,266,113,95,3,13,7.89473684210526315800
15,33,12,27,4,6,24.24242424242424242400
32,465,234,269,1,21,4.94623655913978494600
20,144,17,56,0,0,0.00000000000000000000
600,10745,5806,1913,96,103,5.62121917170777105600
24,687,419,158,5,9,3.34788937409024745300
48,620,160,287,2,8,5.96774193548387096800
110,409,182,372,6,21,12.22493887530562347200
26,202,169,105,4,5,11.88118811881188118800
36,628,334,149,7,14,4.61783439490445859900
28,279,137,90,5,3,5.01792114695340501800
30,212,50,93,2,14,12.73584905660377358500
35,2877,1745,231,10,18,1.18178658324643726100
200,1645,1171,482,40,191,12.15805471124620060800
24,242,157,93,9,18,8.67768595041322314000
98,1161,312,542,17,64,8.18260120585701981100
24,304,134,91,9,16,7.56578947368421052600
30,546,94,148,5,17,5.12820512820512820500
40,459,161,242,2,21,6.53594771241830065400
115,720,518,511,12,50,14.72222222222222222200
23,172,157,66,1,5,11.04651162790697674400
15,121,14,59,3,7,9.91735537190082644600
58,300,253,264,3,18,10.00000000000000000000
12,70,9,28,0,2,10.00000000000000000000
60,346,118,129,3,19,8.67052023121387283200
35,948,439,106,9,28,3.27004219409282700400
22,194,25,67,8,15,11.34020618556701030900
30,551,212,417,3,26,5.62613430127041742300
40,2168,1037,122,2,3,1.66051660516605166100
16,87,14,39,4,13,18.39080459770114942500
20,60,32,47,1,4,15.00000000000000000000
150,801,283,788,13,20,18.60174781523096129800
40,4165,1111,2805,4,30,1.63265306122448979600
40,1436,1130,299,3,33,2.71587743732590529200
16,154,29,37,11,18,11.68831168831168831200
15,339,99,45,6,11,4.42477876106194690300
36,125,59,76,2,26,22.40000000000000000000
120,471,304,462,19,20,24.62845010615711252700
35,1039,432,215,12,22,2.79114533205004812300
35,782,522,344,2,16,3.45268542199488491000
43,739,503,183,2,11,4.87144790257104194900
20,522,405,43,3,1,4.21455938697318007700
27,538,486,93,19,20,5.01858736059479553900
80,1740,1323,497,30,25,4.31034482758620689700
150,905,402,626,19,20,16.79558011049723756900
8,60,4,26,2,6,13.33333333333333333300
105,3382,2507,561,39,9,3.22294500295683027800
30,428,349,122,1,9,6.77570093457943925200
12,280,18,63,2,8,3.92857142857142857100
18,111,25,35,1,12,16.21621621621621621600
50,223,142,183,1,11,10.31390134529147982100
10,273,200,78,2,7,3.66300366300366300400
18,149,120,74,5,11,12.08053691275167785200
24,1926,1108,145,14,15,1.09034267912772585700
96,2467,1773,517,10,49,3.81029590595865423600
15,86,1,41,1,11,16.27906976744186046500
50,270,165,123,5,4,18.51851851851851851900
30,804,153,216,0,5,2.86069651741293532300
35,300,123,183,5,18,7.66666666666666666700
3,116,18,13,1,0,2.58620689655172413800
35,1740,1205,155,9,22,1.95402298850574712600
4,193,106,155,0,0,2.07253886010362694300
45,602,40,296,8,17,6.14617940199335548200
33,1270,717,138,12,15,2.28346456692913385800
48,1283,352,346,7,45,3.74123148869836321100
21,307,122,238,3,7,7.49185667752442996700
48,1153,190,417,6,15,3.90286209887250650500
26,264,160,68,4,14,10.60606060606060606100
15,78,6,48,1,4,7.69230769230769230800
50,483,266,87,9,38,10.35196687370600414100
80,714,372,559,11,18,5.60224089635854341700
10,414,375,51,1,0,2.41545893719806763300
40,282,229,74,2,6,14.18439716312056737600
106,2122,1052,521,30,62,4.28840716305372290300
90,199,28,126,3,6,16.58291457286432160800
360,3320,1097,1228,51,282,10.66265060240963855400
37,621,383,274,4,7,5.79710144927536231900
36,185,95,99,7,24,14.59459459459459459500
40,225,95,130,11,21,12.44444444444444444400
35,769,339,147,16,33,4.81144343302990897300
35,667,402,158,1,3,3.74812593703148425800
56,2697,920,306,20,21,2.26177233963663329600
15,510,300,57,2,5,2.94117647058823529400
40,58,18,45,1,17,34.48275862068965517200
30,432,278,66,5,6,6.94444444444444444400
24,293,178,182,6,9,6.82593856655290102400
15,220,15,67,6,10,7.72727272727272727300
27,613,415,164,2,11,5.05709624796084828700
10,132,6,50,5,5,7.57575757575757575800
36,441,200,166,3,29,7.70975056689342403600
250,1677,825,1248,41,107,14.78831246273106738200
100,1815,1402,600,13,13,5.45454545454545454500
50,4307,3262,202,6,7,1.13768284188530299500
45,1223,134,213,16,33,3.67947669664758789900
24,772,350,77,0,4,1.29533678756476683900
20,438,38,100,7,12,4.79452054794520547900
25,96,72,71,1,3,17.70833333333333333300
6,241,149,31,0,0,2.48962655601659751000
62,550,172,120,0,24,10.72727272727272727300
24,396,239,122,5,15,5.30303030303030303000
45,238,109,154,2,9,6.72268907563025210100
25,26,6,8,0,0,0.00000000000000000000
30,1028,532,127,3,5,2.91828793774319066100
18,371,192,76,7,12,4.31266846361185983800
20,143,35,48,1,5,8.39160839160839160800
25,122,70,56,2,1,9.01639344262295082000
282,8444,6963,1871,31,90,3.18569398389388915200
36,778,151,157,6,16,3.85604113110539845800
32,339,80,110,4,10,5.89970501474926253700
45,1331,283,134,4,22,3.30578512396694214900
35,1635,1501,214,11,4,2.01834862385321100900
18,242,109,89,7,13,7.02479338842975206600
27,475,409,90,8,18,5.26315789473684210500
80,924,298,461,22,57,8.11688311688311688300
35,541,319,175,3,18,4.99075785582255083200
7,32,17,15,0,3,15.62500000000000000000
24,293,44,122,5,18,8.53242320819112628000
47,664,296,301,1,6,2.25903614457831325300
6,41,8,10,0,0,2.43902439024390243900
24,673,301,360,0,3,1.04011887072808321000
47,627,30,131,16,26,6.53907496012759170700
52,268,249,109,4,4,13.05970149253731343300
25,247,152,73,1,3,8.50202429149797570900
18,386,127,73,5,15,4.66321243523316062200
24,77,28,45,2,4,9.09090909090909090900
38,73,47,59,1,7,17.80821917808219178100
144,2542,859,719,9,114,5.58615263571990558600
180,1181,577,841,30,87,14.64860287891617273500
15,150,3,64,4,7,8.66666666666666666700
35,277,185,211,9,12,10.46931407942238267100
30,547,330,145,12,10,4.75319926873857404000
95,1497,138,487,26,61,6.21242484969939879800
35,1476,697,133,11,15,2.30352303523035230400
35,420,190,157,13,21,7.61904761904761904800
34,525,223,128,1,18,5.71428571428571428600
13,1020,269,42,1,2,1.17647058823529411800
140,714,497,398,26,107,19.32773109243697479000
30,415,38,110,9,18,6.26506024096385542200
135,1146,265,666,4,41,9.77312390924956370000
36,3926,3264,650,7,8,0.89149261334691798300
170,956,440,803,15,39,13.17991631799163179900
32,272,188,152,7,12,8.45588235294117647100
20,911,640,114,4,22,2.41492864983534577400
22,225,156,164,2,7,9.33333333333333333300
30,411,192,115,4,13,5.10948905109489051100
32,107,54,74,1,4,26.16822429906542056100
144,2906,1785,578,26,132,4.85203028217481073600
96,2861,2056,417,12,20,3.56518699755330304100
24,258,5,111,6,12,8.91472868217054263600
44,2129,1748,823,11,23,2.06669798027242837000
29,699,49,131,11,19,4.14878397711015736800
35,384,258,130,6,19,7.29166666666666666700
10,50,17,18,0,5,12.00000000000000000000
15,73,50,55,4,2,12.32876712328767123300
30,566,325,112,8,23,4.77031802120141342800
32,945,277,118,11,21,3.28042328042328042300
27,221,73,106,1,7,8.59728506787330316700
650,1327,960,1307,128,242,29.16352675207234363200
30,1246,390,949,2,5,1.60513643659711075400
48,250,161,188,4,43,18.00000000000000000000
24,1029,687,395,5,4,2.13799805636540330400
15,267,192,45,7,13,5.61797752808988764000
15,100,11,46,5,9,14.00000000000000000000
24,528,240,195,3,9,2.46212121212121212100
24,159,106,66,10,8,8.17610062893081761000
18,169,104,59,1,4,11.83431952662721893500
34,2309,1263,178,12,20,1.34257254222607189300
20,76,20,43,2,5,11.84210526315789473700
35,319,184,180,6,23,9.09090909090909090900
50,818,616,131,3,3,6.11246943765281173600
24,625,9,92,10,13,3.84000000000000000000
48,1507,497,230,7,22,3.45056403450564034500
30,681,573,126,9,13,3.52422907488986784100
400,1945,1320,1521,58,204,16.91516709511568123400
15,32,24,24,0,1,18.75000000000000000000
24,220,123,103,4,9,6.36363636363636363600
48,522,183,250,4,39,8.23754789272030651300
40,80,54,70,3,5,25.00000000000000000000
365,8060,2375,2769,68,37,4.42928039702233250600
15,13,0,12,1,2,23.07692307692307692300
115,2621,1257,641,12,72,4.27317817626859977100
50,668,211,221,6,30,7.78443113772455089800
510,4094,2644,2797,51,242,12.11529066927210552000
56,4629,3746,1394,7,20,1.16655865197666882700
45,1229,1042,291,12,34,3.49877949552481692400
35,2838,1463,208,12,6,1.33897110641296687800
620,10620,8980,2459,78,76,5.71563088512241054600
12,10,1,8,1,1,50.00000000000000000000
24,496,197,327,1,11,3.22580645161290322600
35,210,185,119,12,20,13.33333333333333333300
24,605,270,120,9,11,3.80165289256198347100
35,241,156,125,2,18,8.29875518672199170100
30,464,57,135,3,19,5.60344827586206896600
80,1023,589,645,7,25,4.98533724340175953100
58,1982,1423,270,10,18,3.02724520686175580200
70,1008,237,524,11,34,6.54761904761904761900
115,857,624,649,15,49,12.71878646441073512300
24,186,48,86,2,8,4.83870967741935483900
33,587,243,100,10,24,4.77001703577512776800
48,283,149,182,3,17,8.83392226148409894000
25,629,247,78,3,9,3.49761526232114467400
32,426,141,111,1,22,7.27699530516431924900
24,342,142,163,2,9,3.80116959064327485400
10,296,59,80,3,9,4.05405405405405405400
15,10,4,4,1,1,10.00000000000000000000
35,917,494,170,12,19,4.03489640130861504900
24,188,121,74,4,19,11.70212765957446808500
40,758,206,302,10,27,4.88126649076517150400
50,243,182,239,17,13,18.93004115226337448600
6,207,175,12,0,1,3.38164251207729468600
40,175,142,157,2,9,16.57142857142857142900
120,497,233,426,18,46,17.50503018108651911500
14,43,1,20,5,7,20.93023255813953488400
15,65,14,40,0,1,3.07692307692307692300
18,268,174,80,1,12,5.97014925373134328400
240,247,178,239,5,16,10.52631578947368421100
15,247,133,41,5,15,6.07287449392712550600
24,40,1,27,4,3,30.00000000000000000000
35,861,487,199,11,18,3.71660859465737514500
52,460,290,282,3,23,10.65217391304347826100
34,593,283,142,6,17,4.38448566610455312000
30,282,223,189,5,8,9.92907801418439716300
24,784,620,106,8,8,2.67857142857142857100
45,260,61,139,4,24,12.30769230769230769200
30,178,54,88,4,14,8.98876404494382022500
180,1275,960,1065,27,80,13.25490196078431372500
35,466,222,137,4,17,7.29613733905579399100
12,105,52,66,1,11,11.42857142857142857100
160,557,402,473,16,29,21.72351885098743267500
140,355,303,353,9,25,15.21126760563380281700
50,784,679,244,17,28,6.37755102040816326500
10,426,315,105,0,9,2.34741784037558685400
40,74,58,71,1,3,9.45945945945945945900
70,634,499,213,16,18,11.04100946372239747600
96,2022,1498,358,17,62,4.74777448071216617200
32,403,255,85,2,21,7.44416873449131513600
20,615,254,70,4,10,3.57723577235772357700
116,2632,1651,253,11,25,4.29331306990881459000
15,107,60,90,0,3,5.60747663551401869200
38,3276,2183,594,8,15,1.00732600732600732600
80,348,182,293,15,60,22.70114942528735632200
124,1086,477,459,25,82,11.97053406998158379400
73,3672,2975,877,12,49,1.98801742919389978200
16,152,118,112,6,4,11.18421052631578947400
35,174,142,49,3,13,18.96551724137931034500
18,326,206,62,5,8,6.13496932515337423300
18,45,3,32,1,3,15.55555555555555555600
125,1257,1003,386,30,101,9.94431185361972951500
24,158,55,63,2,7,6.96202531645569620300
100,1687,778,777,4,22,7.11321873147599288700
10,230,185,39,4,5,4.34782608695652173900
24,2140,1069,213,4,7,1.07476635514018691600
30,403,329,61,4,16,7.44416873449131513600
84,678,320,467,2,31,6.78466076696165191700
15,212,126,61,5,6,5.18867924528301886800
22,65,44,48,1,2,6.15384615384615384600
120,1894,1533,351,23,87,6.23020063357972544900
12,45,0,32,3,6,22.22222222222222222200
30,483,75,118,7,22,6.41821946169772256700
168,1458,708,683,37,88,10.35665294924554183800
30,264,24,68,10,22,9.09090909090909090900
80,297,216,270,9,16,26.26262626262626262600
48,1503,646,321,6,25,3.06054557551563539600
84,2009,1579,562,21,19,4.03185664509706321600
10,115,71,49,1,2,8.69565217391304347800
16,283,173,66,9,15,5.65371024734982332200
96,1381,124,479,16,50,5.28602461984069514800
15,130,12,63,1,3,6.92307692307692307700
15,101,66,80,2,4,6.93069306930693069300
16,404,258,140,2,12,3.71287128712871287100
20,2880,1308,886,1,7,0.55555555555555555600
30,926,596,221,3,3,3.02375809935205183600
14,350,270,68,2,9,3.14285714285714285700
30,356,207,65,1,6,4.77528089887640449400
40,115,85,97,7,9,16.52173913043478260900
15,55,3,33,2,5,9.09090909090909090900
20,105,49,65,2,5,10.47619047619047619000
45,174,75,120,5,24,13.79310344827586206900
35,352,175,130,4,8,7.67045454545454545500
48,2078,1243,164,9,15,2.30991337824831568800
24,557,198,90,3,11,2.15439856373429084400
12,105,101,43,3,4,10.47619047619047619000
15,294,57,77,2,5,4.76190476190476190500
40,87,57,41,3,6,8.04597701149425287400
30,380,12,103,9,4,6.84210526315789473700
10,159,21,20,7,9,5.66037735849056603800
300,4425,3094,959,56,276,6.75706214689265536700
78,820,73,423,11,45,7.68292682926829268300
67,2546,2139,796,4,23,2.51374705420267085600
15,90,4,20,7,14,16.66666666666666666700
40,88,60,75,2,11,13.63636363636363636400
15,371,231,100,4,14,4.04312668463611859800
124,1454,135,522,23,61,8.52819807427785419500
59,3082,2520,551,14,44,2.01168072680077871500
12,700,282,28,2,5,1.71428571428571428600
35,930,454,223,6,22,3.11827956989247311800
10,16,7,10,2,0,31.25000000000000000000
15,406,90,100,1,2,1.97044334975369458100
15,240,164,75,3,10,5.41666666666666666700
30,499,70,146,12,20,5.81162324649298597200
100,10131,7173,1165,17,22,1.02655216661731319700
40,371,123,106,17,31,9.16442048517520215600
28,283,134,108,7,20,8.83392226148409894000
28,159,155,45,1,3,17.61006289308176100600
23,463,87,131,4,8,3.88768898488120950300
22,1027,362,834,0,4,0.48685491723466407000
100,259,116,175,2,25,14.67181467181467181500
84,1181,605,606,20,50,6.18120237087214225200
15,339,236,45,1,0,2.35988200589970501500
3,159,64,129,0,0,0.62893081761006289300
20,239,230,42,8,8,6.27615062761506276200
15,85,59,50,5,6,8.23529411764705882400
30,342,18,126,12,21,7.01754385964912280700
14,14,0,9,1,1,7.14285714285714285700
35,1730,846,206,14,21,1.84971098265895953800
29,265,29,117,1,16,7.54716981132075471700
24,355,258,159,8,12,4.78873239436619718300
18,477,193,104,4,11,2.93501048218029350100
15,351,208,85,0,12,4.84330484330484330500
55,384,292,233,5,3,14.06250000000000000000
35,889,428,174,7,24,3.26209223847019122600
60,287,178,262,6,26,20.90592334494773519200
30,604,517,97,7,17,5.13245033112582781500
24,403,268,129,6,9,5.45905707196029776700
35,349,195,114,9,24,9.16905444126074498600
10,100,41,83,0,1,6.00000000000000000000
40,304,191,191,9,17,13.81578947368421052600
36,264,204,135,5,21,12.87878787878787878800
13,361,307,36,8,9,4.15512465373961218800
33,140,89,89,2,7,6.42857142857142857100
70,424,288,391,19,29,12.02830188679245283000
32,1040,338,200,4,5,3.07692307692307692300
44,749,640,152,9,17,5.07343124165554072100
260,1872,900,1172,36,114,13.30128205128205128200
150,922,414,692,15,55,14.96746203904555314500
34,922,123,134,7,24,3.57917570498915401300
32,875,112,189,6,18,3.77142857142857142900
15,120,39,34,5,10,10.83333333333333333300
70,1110,512,442,28,42,8.73873873873873873900
19,190,74,81,1,2,3.68421052631578947400
16,1358,865,42,3,5,1.17820324005891016200
20,44,4,31,2,13,29.54545454545454545500
15,146,28,67,1,13,10.27397260273972602700
50,705,242,258,2,23,5.67375886524822695000
48,1264,648,292,6,13,4.35126582278481012700
30,1938,394,1304,2,14,1.34158926728586171300
35,543,275,166,5,14,3.31491712707182320400
15,165,28,45,0,2,6.06060606060606060600
75,730,620,473,14,45,10.27397260273972602700
32,455,293,139,16,25,6.37362637362637362600
350,740,393,725,73,142,27.83783783783783783800
24,519,315,147,10,22,6.74373795761078998100
8,83,9,31,0,7,8.43373493975903614500
56,1331,1219,258,6,15,3.68144252441773102900
40,208,93,129,0,16,11.53846153846153846200
30,257,176,100,1,5,7.00389105058365758800
